 Table written by www.YASARA.org, no header provided
 -1912.051764450000         31          1         No      xaafo
 -1912.051775140000         31          2         No      xaafp
 -1912.051775200000         31          3        Yes      xaafq
 -1912.050895390000         32          1         No      xaafr
 -1912.050906100000         32          2         No      xaafs
 -1912.050906190000         32          3         No      xaaft
 -1912.050906220000         32          4        Yes      xaafu
 -1912.050029030000         33          1         No      xaafv
 -1912.050039750000         33          2         No      xaafw
 -1912.050039770000         33          3        Yes      xaafx
 -1912.049166120000         34          1         No      xaafy
 -1912.049176670000         34          2         No      xaafz
 -1912.049176760000         34          3        Yes      xaaga
 -1912.048307390000         35          1         No      xaagb
 -1912.048317920000         35          2         No      xaagc
 -1912.048317950000         35          3        Yes      xaagd
 -1912.047453540000         36          1         No      xaage
 -1912.047464040000         36          2         No      xaagf
 -1912.047464030000         36          3        Yes      xaagg
 -1912.046605070000         37          1         No      xaagh
 -1912.046615570000         37          2         No      xaagi
 -1912.046615590000         37          3        Yes      xaagj
 -1912.045762700000         38          1         No      xaagk
 -1912.045773200000         38          2         No      xaagl
 -1912.045773240000         38          3        Yes      xaagm
 -1912.044927000000         39          1         No      xaagn
 -1912.044937620000         39          2         No      xaago
 -1912.044937630000         39          3        Yes      xaagp
 -1912.044098650000         40          1         No      xaagq
 -1912.044109320000         40          2         No      xaagr
 -1912.044109350000         40          3        Yes      xaags
 -1912.043278170000         41          1         No      xaagt
 -1912.043288970000         41          2         No      xaagu
 -1912.043289000000         41          3        Yes      xaagv
 -1912.042466320000         42          1         No      xaagw
 -1912.042477190000         42          2         No      xaagx
 -1912.042477210000         42          3        Yes      xaagy
 -1912.041663550000         43          1         No      xaagz
 -1912.041674530000         43          2         No      xaaha
 -1912.041674580000         43          3        Yes      xaahb
 -1912.040870690000         44          1         No      xaahc
 -1912.040881670000         44          2         No      xaahd
 -1912.040881730000         44          3        Yes      xaahe
 -1912.040088130000         45          1         No      xaahf
 -1912.040099200000         45          2         No      xaahg
 -1912.040099220000         45          3        Yes      xaahh
 -1912.039316530000         46          1         No      xaahi
