 __geometry  E_kJ_mol    name
     3.058    43.745   rev_161
     3.068    43.591   rev_162
     3.078    43.448   rev_163
     3.088    43.313   rev_164
     3.098    43.188   rev_165
     3.108    43.071   rev_166
     3.118    42.962   rev_167
     3.128    42.862   rev_168
     3.138    42.770   rev_169
     3.148    42.685   rev_170
     3.158    42.607   rev_171
     3.168    42.535   rev_172
     3.178    42.470   rev_173
     3.188    42.411   rev_174
     3.198    42.357   rev_175
     3.208    42.307   rev_176
     3.218    42.262   rev_177
     3.228    42.220   rev_178
     3.238    42.181   rev_179
     3.248    42.145   rev_180
     3.258    42.110   rev_181
     3.268    42.077   rev_182
     3.278    42.044   rev_183
     3.288    42.012   rev_184
     3.298    41.980   rev_185
     3.308    41.948   rev_186
     3.318    41.917   rev_187
     3.328    41.886   rev_188
     3.338    41.855   rev_189
     3.348    41.825   rev_190
     3.358    41.796   rev_191
     3.368    41.769   rev_192
     3.378    41.743   rev_193
     3.388    41.718   rev_194
     3.398    41.695   rev_195
     3.408    41.673   rev_196
     3.418    41.652   rev_197
     3.428    41.633   rev_198
     3.438    41.614   rev_199
     3.448    41.597   rev_200
     3.458    41.580   rev_201
     3.468    41.564   rev_202
     3.478    41.549   rev_203
     3.488    41.535   rev_204
     3.498    41.522   rev_205
     3.508    41.511   rev_206
     3.518    41.500   rev_207
     3.528    41.491   rev_208
     3.538    41.484   rev_209
     3.548    41.479   rev_210
     3.558    41.475   rev_211
     3.568    41.472   rev_212
     3.578    41.472   rev_213


