 ___energy_hartree  E_kj/mol      step
 -1912.050312960000    53.442   rev_132
 -1912.050491510000    52.973   rev_133
 -1912.050669120000    52.507   rev_134
 -1912.050845630000    52.044   rev_135
 -1912.051020720000    51.584   rev_136
 -1912.051207740000    51.093   rev_137
 -1912.051377810000    50.646   rev_138
 -1912.051556570000    50.177   rev_139
 -1912.051723740000    49.738   rev_140
 -1912.051886030000    49.312   rev_141
 -1912.052044220000    48.897   rev_142
 -1912.052198610000    48.491   rev_143
 -1912.052347300000    48.101   rev_144
 -1912.052489700000    47.727   rev_145
 -1912.052625710000    47.370   rev_146
 -1912.052755370000    47.030   rev_147
 -1912.052878730000    46.706   rev_148
 -1912.052996000000    46.398   rev_149
 -1912.053107240000    46.106   rev_150
 -1912.053212690000    45.829   rev_151
 -1912.053312470000    45.567   rev_152
 -1912.053406830000    45.319   rev_153
 -1912.053495950000    45.085   rev_154
 -1912.053579650000    44.865   rev_155
 -1912.053660000000    44.654   rev_156
 -1912.053735450000    44.456   rev_157
 -1912.053809050000    44.263   rev_158
 -1912.053878780000    44.080   rev_159
 -1912.053944530000    43.907   rev_160
 -1912.054006530000    43.745   rev_161
 -1912.054064880000    43.591   rev_162
 -1912.054119690000    43.448   rev_163
 -1912.054170920000    43.313   rev_164
 -1912.054218710000    43.188   rev_165
 -1912.054263190000    43.071   rev_166
 -1912.054304460000    42.962   rev_167
 -1912.054342670000    42.862   rev_168
 -1912.054377890000    42.770   rev_169
 -1912.054410300000    42.685   rev_170
 -1912.054440010000    42.607   rev_171
 -1912.054467200000    42.535   rev_172
 -1912.054492000000    42.470   rev_173
 -1912.054514620000    42.411   rev_174
 -1912.054535230000    42.357   rev_175
 -1912.054554060000    42.307   rev_176
 -1912.054571370000    42.262   rev_177
 -1912.054587260000    42.220   rev_178
 -1912.054602030000    42.181   rev_179
 -1912.054615920000    42.145   rev_180
 -1912.054629110000    42.110   rev_181
 -1912.054641800000    42.077   rev_182
 -1912.054654180000    42.044   rev_183
 -1912.054666390000    42.012   rev_184
 -1912.054678540000    41.980   rev_185
 -1912.054690660000    41.948   rev_186
 -1912.054702710000    41.917   rev_187
 -1912.054714640000    41.886   rev_188
 -1912.054726300000    41.855   rev_189
 -1912.054737690000    41.825   rev_190
 -1912.054748640000    41.796   rev_191
 -1912.054759110000    41.769   rev_192
 -1912.054769040000    41.743   rev_193
